Quarter,Miles,NumTicketsOrdered,AirlineCompany,PricePerTicket,OriginState,DestState,log_miles,log_price
1,2611.0,1.0,American Airlines (AA),137.0,Massachusetts,California,7.8674885686991285,4.919980925828125
2,2609.0,1.0,Southwest Airlines (WN),296.43,California,Connecticut,7.866722285136729,5.691811102874981
4,432.0,3.0,Southwest Airlines (WN),283.5,Georgia,Indiana,6.068425588244111,5.647212123167807
4,997.0,1.0,Southwest Airlines (WN),385.0,Illinois,Florida,6.904750769961838,5.953243334287785
2,199.0,2.0,JetBlue Airways (B6),106.0,Massachusetts,New York,5.293304824724492,4.663439094112067
4,1782.0,2.0,Southwest Airlines (WN),376.0,Maine,Colorado,7.485491608030754,5.929589143389895
1,264.0,1.0,JetBlue Airways (B6),132.5,New York,New York,5.575949103146316,4.886582645426277
3,2584.0,12.0,JetBlue Airways (B6),498.0,California,Florida,7.857093864902493,6.210600077024653
3,370.0,6.0,American Airlines (AA),61.0,Arizona,California,5.91350300563827,4.110873864173311
1,1590.0,1.0,Delta Air Lines (DL),342.5,Georgia,Utah,7.371489295214277,5.83627165770228
3,861.0,5.0,Southwest Airlines (WN),224.0,Massachusetts,Illinois,6.7580945044277305,5.4116460518550396
3,456.0,5.0,Delta Air Lines (DL),224.5,Tennessee,Michigan,6.1224928095143865,5.413875707182309
4,937.0,2.0,JetBlue Airways (B6),354.0,Florida,New Jersey,6.842683282238422,5.869296913133774
1,332.0,1.0,Delta Air Lines (DL),372.0,Georgia,Tennessee,5.805134968916488,5.918893854273146
4,1035.0,1.0,Delta Air Lines (DL),93.5,Florida,New York,6.942156705699469,4.537961436294641
2,2295.0,1.0,Alaska Airlines (AS),152.5,Maryland,California,7.738488122494646,5.0271645960474665
3,2182.0,1.0,Southwest Airlines (WN),352.61,Washington,Georgia,7.687997166393016,5.865362630310336
4,1781.0,1.0,American Airlines (AA),160.7,California,Illinois,7.484930283289661,5.0795392727434665
1,2457.0,3.0,United Airlines (UA),178.0,California,Maryland,7.806696372521179,5.181783550292085
1,1471.0,1.0,American Airlines (AA),268.45,Connecticut,Texas,7.293697720601438,5.592664676868578
3,1679.0,1.0,United Airlines (UA),229.0,California,Missouri,7.425953657077541,5.43372200355424
2,2239.0,5.0,Delta Air Lines (DL),179.5,California,North Carolina,7.713784616598755,5.190175207928333
4,551.0,1.0,Southwest Airlines (WN),123.5,Louisiana,Florida,6.311734809152915,4.816241156068032
1,451.0,1.0,Southwest Airlines (WN),247.0,Arizona,California,6.111467339502679,5.5093883366279774
2,1190.0,1.0,United Airlines (UA),306.35,Virginia,Texas,7.081708586105575,5.724728239171664
4,760.0,4.0,Delta Air Lines (DL),102.0,New York,Georgia,6.633318433280377,4.624972813284271
2,1012.0,1.0,United Airlines (UA),184.0,Illinois,Florida,6.919683849847411,5.214935757608986
3,692.0,1.0,Delta Air Lines (DL),290.0,Missouri,Georgia,6.539585955617669,5.66988092298052
2,1182.0,1.0,United Airlines (UA),125.0,Florida,Illinois,7.074963197966044,4.8283137373023015
3,2227.0,1.0,United Airlines (UA),167.0,New Jersey,Nevada,7.708410667257367,5.117993812416755
2,657.0,1.0,United Airlines (UA),167.0,Texas,Tennessee,6.48768401848461,5.117993812416755
4,632.0,2.0,Delta Air Lines (DL),277.5,Michigan,Massachusetts,6.448889394146858,5.625820933186489
3,957.0,4.0,Southwest Airlines (WN),218.0,Florida,Texas,6.863803391452954,5.384495062789089
3,1416.0,1.0,United Airlines (UA),178.0,Texas,New York,7.255591274253665,5.181783550292085
1,249.0,1.0,Southwest Airlines (WN),140.0,Illinois,Kentucky,5.517452896464707,4.941642422609304
2,1120.0,2.0,American Airlines (AA),228.0,Illinois,Florida,7.02108396428914,5.429345628954441
4,2052.0,1.0,United Airlines (UA),94.0,Ohio,California,7.62657020629066,4.543294782270004
1,547.0,13.0,Delta Air Lines (DL),100.5,Virginia,Georgia,6.304448802421981,4.61015772749913
2,2400.0,1.0,Alaska Airlines (AS),125.5,North Carolina,California,7.783224016336037,4.832305758571839
1,2556.0,9.0,Hawaiian Airlines (HA),208.0,California,Hawaii,7.846198815497425,5.337538079701318
4,1107.0,1.0,Delta Air Lines (DL),164.0,Arizona,Washington,7.009408932708637,5.099866427824199
3,1744.0,2.0,United Airlines (UA),176.5,California,Illinois,7.463936604468925,5.173320876373351
2,1276.0,14.0,Delta Air Lines (DL),86.0,Arizona,Minnesota,7.151485463904735,4.454347296253507
1,1050.0,1.0,Southwest Airlines (WN),213.0,Connecticut,Florida,6.956545443151569,5.3612921657094255
3,1978.0,1.0,Southwest Airlines (WN),143.5,Tennessee,Washington,7.589841512182657,4.966335035199676
4,1874.0,1.0,United Airlines (UA),167.71,Washington,Texas,7.535830462798367,5.1222362973435365
3,2602.0,1.0,JetBlue Airways (B6),297.5,Massachusetts,California,7.86403565907245,5.695414224985685
3,1721.0,1.0,United Airlines (UA),876.5,Illinois,Washington,7.450660796211539,6.775936704361289
1,1034.0,1.0,United Airlines (UA),541.0,Minnesota,Texas,6.9411900550683745,6.293419278846481
4,1504.0,4.0,United Airlines (UA),154.0,Texas,New Jersey,7.315883504509785,5.0369526024136295
3,1979.0,1.0,Delta Air Lines (DL),162.0,California,Michigan,7.590346945602565,5.087596335232384
3,436.0,2.0,Southwest Airlines (WN),117.37,Louisiana,Texas,6.077642243349034,4.765331338112032
1,2172.0,1.0,Delta Air Lines (DL),199.76,Georgia,Oregon,7.683403681053826,5.297116645971518
3,2311.0,1.0,American Airlines (AA),804.0,California,Virginia,7.745435610274381,6.6895992691789665
2,759.0,6.0,American Airlines (AA),148.5,Virginia,Florida,6.63200177739563,5.000584958242754
3,1306.0,2.0,Delta Air Lines (DL),291.0,Minnesota,Florida,7.174724309836376,5.673323267171493
2,835.0,1.0,Allegiant Air (G4),57.0,Illinois,Florida,6.727431724850855,4.04305126783455
3,1216.0,1.0,Southwest Airlines (WN),207.22,Washington,Arizona,7.103322062526113,5.333781030823606
2,475.0,1.0,Southwest Airlines (WN),87.49,Tennessee,Wisconsin,6.163314804034641,4.471524501118173
2,1698.0,1.0,JetBlue Airways (B6),432.0,Texas,Massachusetts,7.437206366871292,6.068425588244111
1,944.0,1.0,JetBlue Airways (B6),339.92,Florida,New York,6.8501261661455,5.828710295806556
4,1194.0,1.0,American Airlines (AA),494.0,Florida,Connecticut,7.085064293952548,6.202535517187923
4,770.0,2.0,Southwest Airlines (WN),181.0,Missouri,Colorado,6.646390514847729,5.198497031265826
2,668.0,1.0,Southwest Airlines (WN),196.0,Pennsylvania,Illinois,6.504288173536645,5.278114659230517
4,827.0,4.0,Allegiant Air (G4),112.0,Florida,Pennsylvania,6.717804695023691,4.718498871295094
3,907.0,1.0,Delta Air Lines (DL),256.5,Georgia,Minnesota,6.810142450115136,5.547128664610824
1,337.0,1.0,American Airlines (AA),367.0,North Carolina,Pennsylvania,5.820082930352362,5.905361848054571
2,1678.0,1.0,Delta Air Lines (DL),234.0,Nevada,Kentucky,7.425357887027151,5.455321115357702
2,271.0,1.0,Delta Air Lines (DL),199.0,Florida,Georgia,5.602118820879701,5.293304824724492
1,680.0,1.0,United Airlines (UA),211.0,Minnesota,Colorado,6.522092798170152,5.351858133476067
1,2398.0,5.0,United Airlines (UA),333.5,California,Hawaii,7.7823903355874595,5.809642865355678
4,2611.0,2.0,Delta Air Lines (DL),216.0,Massachusetts,California,7.8674885686991285,5.375278407684165
1,646.0,1.0,American Airlines (AA),238.0,California,Arizona,6.470799503782602,5.472270673671475
1,554.0,1.0,Southwest Airlines (WN),212.0,Pennsylvania,Missouri,6.317164686747284,5.356586274672012
2,406.0,15.0,Delta Air Lines (DL),153.5,Georgia,Florida,6.0063531596017325,5.033700567027251
1,236.0,1.0,Virgin America (VX),104.0,California,Nevada,5.4638318050256105,4.6443908991413725
4,2329.0,2.0,Spirit Airlines (NK),94.0,California,Maryland,7.753194269884341,4.543294782270004
3,184.0,1.0,American Airlines (AA),565.0,New York,Massachusetts,5.214935757608986,6.336825731146441
1,814.0,1.0,Southwest Airlines (WN),230.63,Pennsylvania,Missouri,6.70196036600254,5.440814694776582
3,752.0,1.0,United Airlines (UA),381.15,Colorado,Montana,6.62273632394984,5.943192998434283
3,2445.0,1.0,Southwest Airlines (WN),343.0,New York,California,7.801800401908973,5.8377304471659395
3,1167.0,1.0,Southwest Airlines (WN),236.5,Florida,Illinois,7.062191632286556,5.465948207931988
2,488.0,1.0,Southwest Airlines (WN),206.5,Florida,Louisiana,6.1903154058531475,5.330300412401088
3,2556.0,1.0,Hawaiian Airlines (HA),279.01,California,Hawaii,7.846198815497425,5.6312476234729525
2,1428.0,1.0,Delta Air Lines (DL),331.0,Louisiana,Utah,7.2640301428995295,5.802118375377063
2,548.0,10.0,Alaska Airlines (AS),316.0,Alaska,Alaska,6.306275286948016,5.755742213586912
2,338.0,4.0,Southwest Airlines (WN),80.0,Arizona,California,5.823045895483019,4.382026634673881
2,674.0,1.0,Delta Air Lines (DL),441.5,Oklahoma,Georgia,6.513230110912307,6.090178020044014
3,1089.0,1.0,American Airlines (AA),208.5,Florida,New York,6.9930151229329605,5.339939041238856
3,321.0,2.0,Delta Air Lines (DL),444.0,Kentucky,Georgia,5.771441123130016,6.095824562432225
2,1845.0,3.0,Southwest Airlines (WN),223.5,Wisconsin,California,7.520234556474628,5.409411414053624
3,666.0,2.0,American Airlines (AA),357.0,Pennsylvania,Georgia,6.501289670540389,5.877735781779639
4,4184.0,1.0,United Airlines (UA),636.5,Hawaii,Illinois,8.339023005744759,6.4559844179974615
2,430.0,1.0,American Airlines (AA),187.0,Ohio,North Carolina,6.063785208687608,5.231108616854587
3,834.0,2.0,Southwest Airlines (WN),100.5,Oregon,California,6.726233402358747,4.61015772749913
2,621.0,3.0,American Airlines (AA),219.0,California,Arizona,6.431331081933479,5.389071729816501
4,1334.0,1.0,Allegiant Air (G4),238.0,South Dakota,Florida,7.195937226475569,5.472270673671475
3,601.0,1.0,Southwest Airlines (WN),299.0,Illinois,Virginia,6.398594934535208,5.700443573390687
3,1024.0,1.0,Alaska Airlines (AS),368.5,Washington,Colorado,6.931471805599453,5.909440711629391
4,861.0,2.0,Southwest Airlines (WN),518.5,Pennsylvania,Florida,6.7580945044277305,6.250940027669582
2,1999.0,2.0,Southwest Airlines (WN),326.5,Maryland,Arizona,7.6004023345004,5.788429948716486
4,2569.0,3.0,Alaska Airlines (AS),356.0,New York,California,7.851271997109883,5.87493073085203
2,2475.0,1.0,Delta Air Lines (DL),312.48,New York,California,7.813995675002791,5.744540467128369
3,196.0,2.0,JetBlue Airways (B6),86.5,New York,Massachusetts,5.278114659230517,4.460144413937834
4,562.0,1.0,Southwest Airlines (WN),169.0,Texas,Texas,6.331501849893691,5.1298987149230735
2,762.0,1.0,Delta Air Lines (DL),482.06,New York,Georgia,6.635946555686647,6.178068587631244
2,708.0,2.0,United Airlines (UA),132.0,Georgia,New Jersey,6.56244409369372,4.882801922586371
3,2419.0,4.0,United Airlines (UA),941.0,Virginia,California,7.791109510610028,6.846943139585379
1,600.0,1.0,Allegiant Air (G4),84.5,Nevada,Oregon,6.396929655216146,4.436751534363128
2,1123.0,2.0,United Airlines (UA),193.0,Michigan,Colorado,7.023758954738443,5.262690188904886
2,949.0,9.0,Allegiant Air (G4),54.0,Illinois,Florida,6.855408798609928,3.9889840465642745
1,1096.0,1.0,Delta Air Lines (DL),70.73,New York,Florida,6.999422467507961,4.258869811047899
3,1660.0,5.0,American Airlines (AA),255.0,Texas,Washington,7.414572881350589,5.541263545158426
2,980.0,12.0,Delta Air Lines (DL),167.0,Minnesota,Pennsylvania,6.887552571664617,5.117993812416755
4,2072.0,1.0,United Airlines (UA),617.5,Illinois,Puerto Rico,7.6362696033793735,6.4256790685021326
3,1072.0,1.0,JetBlue Airways (B6),238.5,Rhode Island,Florida,6.977281341630747,5.474369310328396
4,999.0,2.0,Southwest Airlines (WN),377.0,Utah,Texas,6.906754778648554,5.932245187448011
4,983.0,2.0,Delta Air Lines (DL),214.0,Michigan,Florida,6.890609120147166,5.365976015021851
1,1709.0,3.0,Frontier Airlines (F9),142.5,Colorado,Florida,7.443663683115591,4.959341999708705
1,895.0,4.0,United Airlines (UA),359.0,Ohio,Florida,6.796823718274855,5.883322388488279
3,2521.0,1.0,United Airlines (UA),118.5,Pennsylvania,California,7.83241092718792,4.774912960575186
1,1220.0,9.0,Allegiant Air (G4),122.5,Arizona,North Dakota,7.106606137727303,4.808111029984782
1,692.0,1.0,Southwest Airlines (WN),60.54,Georgia,Missouri,6.539585955617669,4.103304303593573
4,2475.0,10.0,Alaska Airlines (AS),191.0,California,New York,7.813995675002791,5.25227342804663
4,2762.0,1.0,Hawaiian Airlines (HA),461.5,Nevada,Hawaii,7.923710333969238,6.134482053942907
2,1514.0,1.0,Spirit Airlines (NK),91.73,Illinois,Nevada,7.322510433997394,4.518849479521564
2,1197.0,3.0,United Airlines (UA),143.5,Illinois,Florida,7.087573705557973,4.966335035199676
3,1133.0,1.0,JetBlue Airways (B6),226.0,Florida,Connecticut,7.0326242610280065,5.420534999272286
1,370.0,2.0,American Airlines (AA),153.0,Arizona,California,5.91350300563827,5.030437921392435
1,1055.0,1.0,Spirit Airlines (NK),78.5,Texas,Nevada,6.961296045910167,4.363098624788363
2,452.0,1.0,Southwest Airlines (WN),164.0,Maine,Maryland,6.113682179832232,5.099866427824199
2,1204.0,1.0,Southwest Airlines (WN),100.0,New York,Florida,7.093404625868766,4.605170185988092
2,590.0,8.0,Delta Air Lines (DL),123.5,Utah,California,6.380122536899765,4.816241156068032
3,1145.0,1.0,American Airlines (AA),147.0,Florida,Michigan,7.0431599159883405,4.990432586778736
1,1216.0,3.0,Allegiant Air (G4),142.0,Iowa,Nevada,7.103322062526113,4.955827057601261
2,563.0,2.0,JetBlue Airways (B6),82.0,Massachusetts,Ohio,6.333279628139691,4.406719247264253
2,1715.0,1.0,Alaska Airlines (AS),188.0,Oregon,Texas,7.44716835960004,5.236441962829949
3,733.0,1.0,American Airlines (AA),182.5,New York,Illinois,6.597145701886651,5.206750173022546
3,1276.0,1.0,Sun Country Airlines (SY),172.0,Minnesota,Arizona,7.151485463904735,5.147494476813453
3,760.0,1.0,Delta Air Lines (DL),249.5,New York,Georgia,6.633318433280377,5.519458915191573
2,1182.0,1.0,JetBlue Airways (B6),228.5,New York,Louisiana,7.074963197966044,5.43153621033426
4,1009.0,1.0,Southwest Airlines (WN),179.0,Arizona,Oregon,6.9167150203536085,5.187385805840755
3,817.0,1.0,Delta Air Lines (DL),332.5,Florida,Michigan,6.705639094860003,5.806639860095909
2,1990.0,3.0,Delta Air Lines (DL),288.0,Utah,New York,7.595889917718538,5.662960480135946
2,1522.0,1.0,Delta Air Lines (DL),548.5,California,Minnesota,7.3277805384216315,6.307187279715285
2,2300.0,1.0,Southwest Airlines (WN),218.5,Massachusetts,Arizona,7.7406644019172415,5.3867860145356445
1,414.0,4.0,Southwest Airlines (WN),153.0,Nevada,California,6.025865973825314,5.030437921392435
3,1295.0,1.0,Southwest Airlines (WN),553.5,Texas,Pennsylvania,7.166265974133638,6.316261752148692
2,1416.0,4.0,United Airlines (UA),138.28,New York,Texas,7.255591274253665,4.929280615053424
2,845.0,1.0,Allegiant Air (G4),75.0,Nevada,Montana,6.739336627357174,4.31748811353631
4,920.0,1.0,American Airlines (AA),383.5,Pennsylvania,Florida,6.824373670043086,5.949339620807311
2,1721.0,3.0,American Airlines (AA),189.0,Illinois,Washington,7.450660796211539,5.241747015059643
3,369.0,1.0,Southwest Airlines (WN),166.5,Massachusetts,Maryland,5.910796644040527,5.1149953094204985
4,1900.0,1.0,Delta Air Lines (DL),356.0,California,Kentucky,7.549609165154532,5.87493073085203
2,2527.0,1.0,American Airlines (AA),293.93,California,Connecticut,7.834788107388194,5.683341643751415
4,2588.0,1.0,Alaska Airlines (AS),546.0,California,Massachusetts,7.858640655620791,6.302618975744905
4,399.0,2.0,Alaska Airlines (AS),219.0,Alaska,Alaska,5.988961416889864,5.389071729816501
3,345.0,2.0,Allegiant Air (G4),69.5,Nevada,Nevada,5.84354441703136,4.241326752570746
4,293.0,1.0,Southwest Airlines (WN),160.5,Texas,Texas,5.680172609017068,5.07829394257007
