Quarter,Miles,NumTicketsOrdered,AirlineCompany,OriginState,DestState,PricePerTicket,Airport_x,ogCity,og,Airport_y,destCity,dest
2,1120.0,1.0,United Airlines,Florida,Illinois,530.0,Southwest Florida International Airport,Fort Myers,"Fort Myers, FL (RSW)",Chicago O'Hare International Airport,Chicago,"Chicago, IL (ORD)"
4,862.0,1.0,Spirit Airlines,Texas,Colorado,77.0,George Bush Intercontinental Airport,Houston,"Houston, TX (IAH)",Denver International Airport,Denver,"Denver, CO (DEN)"
1,1204.0,1.0,JetBlue Airways,New York,Florida,237.0,Albany International Airport,Albany,"Albany, NY (ALB)",Fort LauderdaleCHollywood International Airport,Fort Lauderdale,"Fort Lauderdale, FL (FLL)"
4,733.0,3.0,Delta Air Lines,New York,Illinois,185.5,LaGuardia Airport,New York,"New York, NY (LGA)",Chicago O'Hare International Airport,Chicago,"Chicago, IL (ORD)"
4,2288.0,1.0,United Airlines,California,Virginia,657.0,Los Angeles International Airport,Los Angeles,"Los Angeles, CA (LAX)",Washington Dulles International Airport,"Washington, D.C. / Dulles / Chantilly","Washington, D.C. / Dulles / Chantilly, VA (IAD)"
1,600.0,1.0,American Airlines,North Carolina,Florida,183.0,Charlotte/Douglas International Airport,Charlotte,"Charlotte, NC (CLT)",Southwest Florida International Airport,Fort Myers,"Fort Myers, FL (RSW)"
4,363.0,1.0,United Airlines,California,California,140.5,Ontario International Airport,Ontario,"Ontario, CA (ONT)",San Francisco International Airport,San Francisco,"San Francisco, CA (SFO)"
1,937.0,1.0,United Airlines,New Jersey,Florida,95.0,Newark Liberty International Airport,Newark,"Newark, NJ (EWR)",Orlando International Airport,Orlando,"Orlando, FL (MCO)"
1,1216.0,1.0,Allegiant Air,Nevada,Iowa,100.0,McCarran International Airport,Las Vegas,"Las Vegas, NV (LAS)",Des Moines International Airport,Des Moines,"Des Moines, IA (DSM)"
3,1721.0,1.0,Delta Air Lines,Washington,Illinois,106.0,SeattleCTacoma International Airport,Seattle / Tacoma ( SeaTac ),"Seattle / Tacoma ( SeaTac ), WA (SEA)",Chicago O'Hare International Airport,Chicago,"Chicago, IL (ORD)"
4,2378.0,1.0,Alaska Airlines,Washington,Pennsylvania,298.5,SeattleCTacoma International Airport,Seattle / Tacoma ( SeaTac ),"Seattle / Tacoma ( SeaTac ), WA (SEA)",Philadelphia International Airport,Philadelphia,"Philadelphia, PA (PHL)"
4,1072.0,1.0,Allegiant Air,Arizona,South Dakota,229.0,PhoenixCMesa Gateway Airport,Mesa,"Mesa, AZ (AZA)",Sioux Falls Regional Airport,Sioux Falls,"Sioux Falls, SD (FSD)"
4,1066.0,1.0,Southwest Airlines,Wisconsin,Florida,310.5,General Mitchell International Airport,Milwaukee,"Milwaukee, WI (MKE)",Orlando International Airport,Orlando,"Orlando, FL (MCO)"
2,2218.0,2.0,American Airlines,Florida,California,594.0,Orlando International Airport,Orlando,"Orlando, FL (MCO)",Los Angeles International Airport,Los Angeles,"Los Angeles, CA (LAX)"
2,600.0,3.0,Allegiant Air,Nevada,Oregon,199.0,McCarran International Airport,Las Vegas,"Las Vegas, NV (LAS)",Rogue Valley International-Medford Airport,Medford,"Medford, OR (MFR)"
3,1782.0,2.0,Southwest Airlines,Indiana,California,187.0,Indianapolis International Airport,Indianapolis,"Indianapolis, IN (IND)",San Diego International Airport,San Diego,"San Diego, CA (SAN)"
3,2500.0,14.0,United Airlines,California,New Jersey,156.0,Sacramento International Airport,Sacramento,"Sacramento, CA (SMF)",Newark Liberty International Airport,Newark,"Newark, NJ (EWR)"
2,992.0,5.0,Southwest Airlines,Florida,Pennsylvania,140.0,Fort LauderdaleCHollywood International Airport,Fort Lauderdale,"Fort Lauderdale, FL (FLL)",Philadelphia International Airport,Philadelphia,"Philadelphia, PA (PHL)"
2,1749.0,1.0,Delta Air Lines,Nevada,Michigan,561.0,McCarran International Airport,Las Vegas,"Las Vegas, NV (LAS)",Detroit Metropolitan Wayne County Airport,Detroit / Romulus,"Detroit / Romulus, MI (DTW)"
4,516.0,1.0,Delta Air Lines,Virginia,Georgia,272.5,Norfolk International Airport,Norfolk,"Norfolk, VA (ORF)",HartsfieldCJackson Atlanta International Airport,Atlanta,"Atlanta, GA (ATL)"
3,1379.0,1.0,American Airlines,Texas,California,394.0,George Bush Intercontinental Airport,Houston,"Houston, TX (IAH)",Los Angeles International Airport,Los Angeles,"Los Angeles, CA (LAX)"
4,2614.0,1.0,Alaska Airlines,Hawaii,California,397.0,Daniel K. Inouye International Airport,"Honolulu , Oahu","Honolulu , Oahu, HI (HNL)",San Diego International Airport,San Diego,"San Diego, CA (SAN)"
4,973.0,2.0,Allegiant Air,Indiana,Florida,149.0,South Bend International Airport,South Bend,"South Bend, IN (SBN)",St. PeteCClearwater International Airport,St. Petersburg / Clearwater,"St. Petersburg / Clearwater, FL (PIE)"
2,1075.0,1.0,Southwest Airlines,Wisconsin,Florida,98.34,General Mitchell International Airport,Milwaukee,"Milwaukee, WI (MKE)",Tampa International Airport,Tampa,"Tampa, FL (TPA)"
